PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
5900261;"Comisaría de Policía y Oficina de Tramitación del DNI y Pasaporte (Usera-Villaverde 2)";"";"Comisaría:  Ininterrunpido.   DNI y Pasaporte: Lunes a viernes de 9 a 14:30 horas. Con Cita Previa. Los horarios puede sufrir modificaciones puntuales, confirmar en el siguiente enlace.";"";"Bus: 6, 60, 81.";"Denuncias:  pueden presentarse  en la página web de la Dirección General de Policía  y en comisaría.";"1,4,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=acd07b86c030d210VgnVCM2000000c205a0aRCRD";"PRIMITIVA GA&amp;Ntilde;AN";"CALLE";"V";"6";"";"";"";"";"MADRID";"MADRID";"28026";"7";"PRADOLONGO";"12";"USERA";"439794";"4470255";"40.38070988121351";"-3.7092728771934276";"060 (Cita previa DNI y pasaporte e información general) / 902 102 112 (Denuncias turistas extranjeros) / 913 921 600 (Comisaría)";"915 004 172 (comisaría)";"";"/contenido/entidadesYorganismos/OficinasDNIPasaporte"; 
12336;"Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Carabanchel)";"";"Comisaría: ininterrumpido.  DNI electrónico y pasaporte: Lunes a viernes, de 9 a 14:30 y de 16 a 20 horas. Con Cita Previa.  Los horarios puede sufrir modificaciones puntuales, confirmar en este  enlace .";"";"Bus: 108.";"Denuncias: pueden presentarse en la página web de la Dirección General de Policía y en comisaría.";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d59766051361c010VgnVCM1000000b205a0aRCRD";"PADRE AMIGO";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28025";"5";"PUERTA BONITA";"11";"CARABANCHEL";"437185";"4470171";"40.37976058045636";"-3.739998239377629";"060 (Cita previa DNI y pasaporte e información general) / 902 102 112 (Denuncias turistas extranjeros)  / 913 227 512 (Comisaría)";"914 624 622 (Comisaría)";"";"/contenido/entidadesYorganismos/OficinasDNIPasaporte"; 
12331;"Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Chamartín)";"";"Comisaría: ininterrumpido.   DNI y Pasaporte: Lunes a viernes de 9 a 14:30 horas. Con Cita Previa. Los horarios puede sufrir modificaciones puntuales, confirmar en el siguiente enlace.";"";"Metro: Duque de Pastrana (línea 9).  Bus: 150, 16.";"Denuncias:  pueden presentarse en la  página web de la Dirección General de Policia  y en comisaría.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bfb766051361c010VgnVCM1000000b205a0aRCRD";"PIO XII";"AVENIDA";"V";"48";"";"";"";"";"MADRID";"MADRID";"28016";"6";"CASTILLA";"5";"CHAMARTIN";"442950";"4480048";"40.469152346150686";"-3.672973959296602";"060 (Cita previa DNI y pasaporte e Información general)   / 902 102 112 (Denuncias turistas extranjeros) / 913 227 910 (Comisaría)";"913 227 911 (Comisaría)";"";"/contenido/entidadesYorganismos/OficinasDNIPasaporte"; 
7935374;"Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Fuencarral - El Pardo)";"";"Comisaría: ininterrumpido.   DNI y Pasaporte: Lunes a viernes de 9 a 14:30. Con Cita Previa. Los horarios puede sufrir modificaciones puntuales, confirmar en el siguiente enlace.";"";"Metro: Lacoma (línea 7).  Bus: 49.";"Denuncias: pueden presentarse por internet y en comisaría.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7815e686d680c410VgnVCM2000000c205a0aRCRD";"MIRADOR DE LA REINA";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28035";"7";"MIRASIERRA";"8";"FUENCARRAL-EL PARDO";"438455";"4482188";"40.48810930619037";"-3.726201743268821";"060 (Cita previa DNI y pasaporte e información general) / 902 102 112 (Denuncias turistas extranjeros) / 917 319 787 (Comisaría)";"917 309 489 (Comisaría)";"";"/contenido/entidadesYorganismos/ComisariasOficinasPolicia"; 
43979;"Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Hortaleza)";"";"Comisaría: Ininterrumpido.   DNI: Lunes a viernes, 9 a 14:30 y de 16 a 20 horas. Con Cita Previa.  Pasaporte: Lunes a viernes, 9 a 14:30 horas. Con Cita Previa. Los horarios puede sufrir modificaciones, ver en enlace.";"";"Metro: Mar de Cristal (líneas 4 y 8).  Bus: 87, 120, 125, 172.";"Denuncias:  pueden presentarse  en la página web de la Dirección General de Policía  y en comisaría.    DNI y Pasaporte: Enlace Cita Previa.";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e3887589f451c010VgnVCM1000000b205a0aRCRD";"JAVIER DEL QUINTO";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28043";"3";"CANILLAS";"16";"HORTALEZA";"445546";"4479957";"40.46850680550201";"-3.642345049181705";"060 (Cita previa DNI y pasaporte e información general) / 902 102 112 (Denuncias turistas extranjeros) / 913 221 188 (Comisaría)";"913 229 994 (Comisaría)";"";"/contenido/entidadesYorganismos/OficinasDNIPasaporte"; 
12343;"Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Latina)";"";"Comisaría: ininterrumpido.   DNI y pasaporte: Lunes a viernes de 9 a 14:30 horas. Con Cita Previa.  Los horarios puede sufrir modificaciones puntuales, confirmar en el siguiente  enlace .";"";"Metro: Aluche (línea 5).  Bus: 121, 131, 139.  Cercanías Renfe: Aluche (línea C5).";"Denuncias:  pueden presentarse  en la página web de la Dirección General de Policía  y en comisaría.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8318efeac361c010VgnVCM1000000b205a0aRCRD";"POBLADOS";"AVENIDA";"V";"51";"";"";"";"";"MADRID";"MADRID";"28047";"4";"VISTA ALEGRE";"11";"CARABANCHEL";"435693";"4470454";"40.3821961594519";"-3.757602010619672";"060 (Cita previa DNI y pasaporte e información general) / 902 102 112 (Denuncias turistas extranjeros) / 913 228 682 (Comisaría)";"915 120 512 (Comisaría)";"";"/contenido/entidadesYorganismos/OficinasDNIPasaporte"; 
12327;"Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (San Blas - Canillejas)";"";"Comisaría: ininterrumpido.   DNI y Pasaporte: Lunes a viernes de 9 a 14:30 horas. Con Cita Previa. Los horarios puede sufrir modificaciones puntuales, confirmar en el siguiente enlace.";"";"Metro: San Blas (línea 7).  Bus: 153, 38, 165, 48.";"Denuncias:  pueden presentarse  en la página de la Dirección General de Policía  y en comisaría.     DNI y Pasaporte: Enlace Cita Previa.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2198efeac361c010VgnVCM1000000b205a0aRCRD";"ALBERIQUE";"CALLE";"V";"20";"";"";"";"esquina Avenida Hellín";"MADRID";"MADRID";"28037";"3";"AMPOSTA";"20";"SAN BLAS-CANILLEJAS";"447756";"4475582";"40.429236197826675";"-3.615917204538452";"060 (Cita previa DNI y pasaporte e información general) / 902 102 112 (Denuncias turistas extranjeros) / 913 225 648 (Comisaría)";"913 065 187";"";"/contenido/entidadesYorganismos/OficinasDNIPasaporte"; 
4648324;"Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Villa de Vallecas)";"";"Comisaría: Ininterrumpido.  DNI: Lunes a viernes de 9 a 14:30 horas. Con Cita Previa.  Pasaporte: Lunes a viernes de 9 a 14:30 horas. Con Cita Previa. Los horarios puede sufrir modificaciones puntuales, confirmar en el siguiente enlace.";"";"Bus: 103, 111, 24, 144, 102  Cercanías Renfe: Asamblea de Madrid - Entrevías (línea C2).";"Denuncias:  pueden presentarse  en la página web de la Dirección General de Policia  y en comisaría.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e12ab40380725110VgnVCM1000000b205a0aRCRD";"REGIONES";"PLAZA";"V";"";"";"";"";"sin número";"MADRID";"MADRID";"28053";"1";"ENTREVIAS";"13";"PUENTE DE VALLECAS";"443076";"4470117";"40.37969736641701";"-3.6705986546441793";"060 (Cita previa DNI y pasaporte e información general) / 902 102 112 Denuncias turistas extranjeros / 915 079 410 (Comisaría)";"913 229 964 (Comisaría)";"";"/contenido/entidadesYorganismos/OficinasDNIPasaporte"; 
36083;"Oficina de Tramitación de DNI y Pasaporte (Usera-Villaverde 1)";"";"DNI y pasaporte: Lunes a viernes de 9 a 14:30 horas. Con Cita Previa.  Los horarios puede sufrir modificaciones puntuales, confirmar en el siguiente  enlace .";"";"Metro: Ciudad de los Ángeles (línea 3).  Bus: 22, 59, 79, 85, 18, 86.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5958444a2951c010VgnVCM2000000c205a0aRCRD";"GIGANTES Y CABEZUDOS";"PASEO";"V";"30";"";"";"";"";"MADRID";"MADRID";"28041";"5";"LOS ANGELES";"17";"VILLAVERDE";"441082";"4467676";"40.35756885956982";"-3.6938620027962017";"060 (Cita previa e Información general)";"";"";"/contenido/entidadesYorganismos/OficinasDNIPasaporte"; 

