nombre_estacion,linea,barrio,id_barrio,distrito,id_distrito,orden_paradas,longitud,latitud,trafico
Carpetana,L6,SAN ISIDRO,4,CARAMBACHEL,11,28,"-3,740,982,794","403,927,153",5.569.768
Cartagena,L7,PROSPERIDAD,2,CHAMARTIN,5,15,"-3,672,157,484","4,043,930,812",1.949.194
Casa de Campo,L5/L10,ALUCHE,3,LATINA,10,1,"-376,100,355","4,040,322,022",7.956.621
Chamartin,L1/L10,CASTILLA,6,CHAMARTIN,5,3,"-3,682,768,126","4,047,213,836",8.797.197
Chueca,L5,JUSTICIA,4,CENTRO,1,18,"-369,764,598","404,225,677",3.039.046
Ciudad de los Angeles,L3,ANGELES,5,VILLAVERDE,17,15,"-3,693,661,806","4,035,972,844",4.318.632
Ciudad Lineal,L5,QUINTANA,3,CIUDAD LINEAL,15,27,"-3,638,039,345","4,043,787,847",4.122.778
Ciudad Universitaria,L6,CIUDAD UNIVERSITARIA,3,MONCLOA-ARAVACA,9,8,"-3,726,893,882","4,044,353,936",5.703.438
Colombia,L8/L9,HISPANOAMERICA,4,CHAMARTIN,5,7,"-3,676,944,063","4,045,730,084",8.798.480
Colon,L4,RECOLETOS,1,SALAMANCA,4,5,"-3,690,976,414","4,042,542,884",1.301.327
Colonia Jardín,L10,CAMPAMENTO,5,LATINA,10,27,"-3,774,847,439","403,972,105",7.775.374
Concha Espina,L9,EL VISO,1,CHAMARTIN,5,10,"-3,678,319,587","4,045,037,256",2.015.704
Conde de Casal,L6,RETIRO,3,RETIRO,3,19,"-3,669,984,798","4,040,709,413",6.661.469
Congosto,L1,ENSANCHE VALLECAS,3,VILLA DE VALLECAS,18,30,"-3,618,721,717","4,037,217,363",2.126.737
Cruz del Rayo,L9,EL VISO,1,CHAMARTIN,5,11,"-3,678,233,756","4,044,423,272",1.676.629
Cuatro Caminos,L1/L2/L6,CUATRO CAMINOS,2,TETUAN,6,9,"-3,703,977,869","4,044,700,657",16.091.690
Cuatro Vientos,L10,CUATRO VIENTOS,6,LATINA,10,29,"-3,790,830,806","4,037,771,182",2.661.058
Cuzco,L10,CASTILLEJOS,3,TETUAN,6,16,"-3,689,887,193","4,045,826,738",4.384.009
Delicias,L3,DELICIAS,5,ARGANZUELA,2,10,"-3,694,104,581","4,039,975,767",4.767.471
Diego de Leon,L4/L5/L6,LISTA,5,SALAMANCA,4,10,"-3,675,073,148","404,346,047",14.502.699
Duque de Pastrana,L9,CASTILLA,6,CHAMARTIN,5,7,"-3,679,376,056","4,046,753,382",757.599
El capricho,L5,ALAMEDA DE OSUNA,1,BARAJAS,21,31,"-3,594,265,832","4,045,329,665",943.938
El Carmen,L5,QUINTANA,3,CIUDAD LINEAL,15,24,"-365,748,632","4,043,183,532",4.521.912
Embajadores,L3,EMBAJADORES,2,CENTRO,1,8,"-3,702,194,123","4,040,464,342",8.490.055
Empalme,L5,ALUCHE,3,LATINA,10,3,"-3,765,832,629","4,039,089,574",1.775.111
Esperanza,L4,CANILLAS,3,HORTALEZA,16,16,"-364,587,343","4,045,959,827",1.929.276
Estacion del Arte,L1,JERONIMOS,5,RETIRO,3,18,"-3,692,514,988","4,040,900,991",3.000.335
Estadio Metropolitano,L7,ROSAS,5,SAN BLAS - CANILLEJAS,20,24,"-3,600,086,527","4,043,335,813",4.300.584
Estrecho,L1,CUATRO CAMINOS,2,TETUAN,6,7,"-3,702,766,676","4,045,457,217",7.040.773
Estrella,L9,ESTRELLA,3,RETIRO,3,17,"-3,661,840,095","4,041,143,389",2.531.558
Eugenia de Montijo,L5,VISTA ALEGRE,4,CARAMBACHEL,11,5,"-3,750,646,908","4,038,472,658",1.930.562
Feria de Madrid,L8,CORRALEJOS,5,BARAJAS,21,4,"-3,616,340,986","4,046,398,373",1.908.480
Francos Rodriguez,L7,VALDEZARZA,4,MONCLOA-ARAVACA,9,8,"-3,712,156,561","4,045,652,689",3.771.484
Fuencarral,L10,VALVERDE,6,FUENCARRAL-EL PARDO,8,12,"-3,693,221,157","4,049,503,942",2.109.309
García Noblejas,L7,PUEBLO NUEVO,2,CIUDAD LINEAL,15,20,"-3,631,834,981","4,042,908,408",3.177.105
Goya,L2/L4,GOYA,2,SALAMANCA,4,8,"-3,675,856,618","4,042,457,569",11.522.464
Gran Via,L1/L5,SOL,6,CENTRO,1,14,"-3,701,613,041","4,041,987,424",7.180.340
Gregorio Maranon,L7/L10,ALMAGRO,4,CHAMBERI,7,13,"-3,691,192,415","4,043,807,472",17.670.735
Guzman el Bueno,L6/L7,CIUDAD UNIVERSITARIA,3,MONCLOA-ARAVACA,9,10,"-3,711,809,138","4,044,653,227",8.465.631
Herrera Oria,L9,LA PAZ,5,FUENCARRAL-EL PARDO,8,3,"-3,707,629,142","4,048,458,425",1.965.559
Hortaleza,L4,PINAR DEL REY,4,HORTALEZA,16,21,"-3,652,516,009","40,475,102",1.775.639
Hospital 12 de Octubre,L3,SAN FERMIN,3,USERA,12,13,"-3,695,821,195","4,037,540,139",2.960.698
Ibiza,L9,IBIZA,4,RETIRO,3,15,"-367,810,501","404,183,282",2.428.457
Iglesia,L1,TRAFALGAR,3,CHAMBERI,7,11,"-3,698,774,046","4,043,489,816",4.470.158
Islas Filipinas,L7,VALLEHERMOSO,6,CHAMBERI,7,10,"-3,713,787,344","4,043,902,195",5.356.990
La Almudena,L2,PUEBLO NUEVO,2,CIUDAD LINEAL,15,4,"-3,639,192,584","4,042,362,092",1.745.372
La Elipa,L2,VENTAS,1,CIUDAD LINEAL,15,5,"-3,650,618,775","4,042,649,584",4.106.739
La Gavia,L1,ENSANCHE VALLECAS,3,VILLA DE VALLECAS,18,31,"-3,612,606,281","40,369,231",1.562.859
La Latina,L5,PALACIO,1,CENTRO,1,14,"-3,708,350,673","4,041,134,253",4.441.399
La Peseta,L11,BUENAVISTA,6,CARAMBACHEL,11,6,"-3,757,339,835","4,036,325,224",1.314.439
Lacoma,L7,PEÑAGRANDE,3,FUENCARRAL-EL PARDO,8,3,"-3,723,059,488","4,048,483,196",1.456.885
Lago,L10,CASA DE CAMPO,1,MONCLOA-ARAVACA,9,24,"-3,734,850,338","4,041,649,073",1.580.090
Laguna,L6,LUCERO,3,LATINA,10,1,"-3,743,863,647","4,039,908,529",3.225.039
Las Musas,L7,ROSAS,5,SAN BLAS - CANILLEJAS,20,23,"-3,607,704","4,043,262,315",1.699.016
Las Rosas,L2,ROSAS,5,SAN BLAS - CANILLEJAS,20,1,"-3,603,045,624","4,042,375,139",1.631.966
Las Suertes,L1,ENSANCHE VALLECAS,3,VILLA DE VALLECAS,18,32,"-3,599,602,932","4,036,321,456",2.973.165
Las Tablas,L10,VALVERDE,6,FUENCARRAL-EL PARDO,8,9,"-3,669,415,187","405,082,077",2.243.167
Lavapies,L3,EMBAJADORES,2,CENTRO,1,7,"-3,700,756,459","4,040,848,315",5.080.616
Legazpi,L3/L6,LEGAZPI,4,ARGANZUELA,2,11,"-3,695,134,549","4,039,114,152",18.313.451
Lista,L4,LISTA,5,SALAMANCA,4,9,"-3,675,363,123","4,042,916,929",1.967.919
Lucero,L6,LUCERO,3,LATINA,10,2,"-3,745,580,261","404,047,554",5.054.775
Manoteras,L4,APOSTOL SANTIAGO,5,HORTALEZA,16,22,"-3,662,953,756","4,047,667,604",1.318.832
Manuel Becerra,L2/L6,GUINDALERA,4,SALAMANCA,4,7,"-3,669,204,739","4,042,790,792",9.284.711
Mar de Cristal,L4/L8,PINAR DEL REY,4,HORTALEZA,16,18,"-3,638,170,848","404,693,649",6.172.476
Marques de Vadillo,L5,SAN ISIDRO,3,CARAMBACHEL,11,10,"-3,716,255,149","4,039,749,269",4.880.497
Mendez Alvaro,L6,LEGAZPI,4,ARGANZUELA,2,21,"-3,678,027,259","4,039,563,943",8.974.299
Menendez Pelayo,L1,PACIFICO,1,RETIRO,3,20,"-3,680,742,777","4,040,453,297",2.819.370
Miguel Hernandez,L1,PORTAZGO,5,PUENTE DE VALLECAS,13,27,"-3,639,738,261","4,038,737,518",3.376.134
Mirasierra,L9,MIRASIERRA,7,FUENCARRAL-EL PARDO,8,2,"-3,716,298,041","4,049,094,886",1.365.009
Moncloa,L3/L6,ARGUELLES,2,MONCLOA-ARAVACA,9,1,"-3,719,117,747","4,043,454,151",29.762.478
Montecarmelo,L10,EL GOLOSO,8,FUENCARRAL-EL PARDO,8,10,"-3,695,902,925","4,050,528,733",1.497.868
Noviciado,L2,UNIVERSIDAD,5,CENTRO,1,16,"-3,707,427,188","4,042,486,766",3.478.374
Nueva Numancia,L1,NUMANCIA,6,PUENTE DE VALLECAS,13,23,"-3,664,390,076","4,039,581,853",6.293.417
Nuevos Ministerios,L6/L8/L10,CUATRO CAMINOS,2,TETUAN,6,12,"-3,691,982,249","4,044,664,658",29.885.885
Nunez de Balboa,L5/L9,CASTELLANA,6,SALAMANCA,4,21,"-3,683,196,798","4,043,284,731",7.850.348
O'Donnell,L6,IBIZA ,4,RETIRO,3,17,"-3,668,976,287","4,042,241,912",5.222.459
Opanel,L6,OPANEL,2,CARAMBACHEL,11,26,"-3,723,445,102","4,038,622,525",3.585.408
Opera,L2/L5,PALACIO,1,CENTRO,1,14,"-3,709,330,457","4,041,823,746",14.850.637
Oporto,L5/L6,OPANEL,2,CARAMBACHEL,11,8,"-3,731,230,185","403,883,975",15.822.483
Pacifico,L1/L6,PACIFICO,1,RETIRO,3,21,"-3,674,777,864","4,040,175,113",18.460.266
Paco de Lucia,L9,MIRASIERRA,7,FUENCARRAL-EL PARDO,8,1,"-3,709,227,739","404,996,054",1.342.729
Palos de la Frontera,L3,PALOS DE LA FRONTERA,6,ARGANZUELA,2,9,"-3,693,954,377","4,040,291,139",3.471.551
Pan Bendito,L11,ABRANTES,7,CARAMBACHEL,11,3,"-3,734,388,262","403,758,742",845.508
Parque de las Avenidas,L7,GUINDALERA,4,SALAMANCA,4,16,"-36,629,736","4,043,947,143",1.823.405
Parque de Santa Maria,L4,PINAR DEL REY,4,HORTALEZA,16,20,"-3,645,263,316","4,047,719,126",1.543.689
Pavones,L9,PAVONES,1,MORATALAZ,14,20,"-3,635,146,751","4,040,061,722",2.736.802
Penagrande,L7,PENAGRANDE,3,FUENCARRAL-EL PARDO,8,5,"-371,593,554","4,047,592,052",3.028.773
Pinar de Chamartin,L1/L4,COSTILLARES,9,CIUDAD LINEAL,15,1,"-366,706,111","4,048,013,631",6.222.074
Pinar del Rey,L8,CANILLAS,3,HORTALEZA,16,6,"-3,648,056,929","4,046,810,839",2.153.834
Pio XII,L9,NUEVA ESPANA,5,CHAMARTIN,5,8,"-3,676,087,989","4,046,251,995",1.908.982
Piramides,L5,CHOPERA,3,ARGANZUELA,2,11,"-3,710,925,594","4,040,251,939",2.216.934
Pitis,L7,MIRASIERRA,7,FUENCARRAL-EL PARDO,8,1,"-3,725,570,035","40,495,374",612.409
Plaza de Castilla,L1/L9/L10,CASTILLA,6,CHAMARTIN,5,4,"-3,689,162,512","404,668,494",25.135.236
Plaza de España,Linea 3/L10,ARGUELLES,2,MONCLOA-ARAVACA,9,4,"-3,710,927,396","4,042,369,283",17.006.552
Plaza Eliptica,Linea 6/L11,ABRANTES,7,CARAMBACHEL,11,25,"-3,718,381,091","4,038,449,275",16.365.931
Portazgo,L1,PORTAZGO,5,PUENTE DE VALLECAS,13,24,"-3,658,907,634","4,039,288,919",3.704.812
Principe de Vergara,L2/L9,GOYA,2,SALAMANCA,4,9,"-3,679,847,745","404,230,892",8.324.742
Principe Pio,L10/L6,CASA DE CAMPO,1,CENTRO,9,23,"-371,940,932","404,215,879",32.191.729
Prosperidad,L4,PROSPERIDAD,2,CHAMARTIN,5,12,"-367,494,475","4,044,420,516",2.743.690
Pueblo Nuevo,L5/L7,PUEBLO NUEVO,2,CIUDAD LINEAL,15,26,"-3,642,845,864","404,356,791",9.317.967
Puente de Vallecas,L1,SAN DIEGO,2,PUENTE DE VALLECAS,13,22,"-3,668,939,103","4,039,853,123",6.114.428
Puerta de Arganda,L9,VALDERRIVAS,3,VICALVARO,19,24,"-3,577,580,403","4,038,825,191",5.863.526
Puerta de Toledo,L5,ACACIAS,2,ARGANZUELA,2,13,"-3,710,904,136","4,040,676,771",2.404.201
Puerta del Angel,L6,PUERTA DEL ANGEL,2,LATINA,10,4,"-3,727,219,913","4,041,408,471",4.599.412
Quevedo,L2,ARAPILES,2,CHAMBERI,7,18,"-370,427,291","4,043,314,889",3.689.722
Quintana,L5,QUINTANA,3,CIUDAD LINEAL,15,25,"-3,647,229,222","4,043,358,855",3.614.161
Republica Argentina,L6,EL VISO,1,CHAMARTIN,5,13,"-3,683,914,164","404,437,072",1.988.646
Retiro,L2,LOS JERONIMOS,5,RETIRO,3,10,"-3,685,877,351","4,042,073,689",3.612.177
Rios Rosas,L1,RIOS ROSAS,5,CHAMBERI,7,10,"-3,701,531,695","4,044,135,635",2.959.853
Ronda de la Comunicacion,L10,MIRASIERRA,7,FUENCARRAL-EL PARDO,8,8,"-366,284,914","4,051,567,934",445.968
Ruben Dario,L5,ALMAGRO,4,CHAMBERI,7,20,"-3,689,119,115","4,043,315,269",2.686.763
Sainz de Baranda,L6/L9,ESTRELLA,3,RETIRO,3,18,"-3,669,791,679","404,147,404",9.768.952
San Bernardo,L2/L4,ARAPILES,2,CHAMBERI,7,17,"-3,706,032,439","4,042,986,592",4.354.814
San Blas,L7,HELLIN,2,SAN BLAS - CANILLEJAS,20,22,"-361,569,126","4,042,792,782",2.030.506
San Cipriano,L9,CASCO HISTORICO DE VICALVARO,1,VICALVARO,19,23,"-3,603,701,183","4,040,388,349",1.171.851
San Cristobal,L3,SAN CRISTOBAL,2,VILLAVERDE,17,17,"-3,692,796,277","4,034,142,482",2.662.348
San Fermin-Orcasur,L3,ORCASUR,2,USERA,12,14,"-3,694,383,531","403,697,615",3.514.558
San Francisco,L11,BUENAVISTA,6,CARAMBACHEL,11,4,"-3,739,701,628","4,037,374,797",1.593.949
San Lorenzo,L4,PINAR DEL REY,4,HORTALEZA,16,19,"-3,639,426,829","4,047,444,909",1.813.279
Santiago Bernabeu,L10,EL VISO,1,CHAMARTIN,5,17,"-3,690,702,584","4,045,216,092",4.784.869
Santo Domingo,L2,UNIVERSIDAD,5,CENTRO,1,15,"-3,707,899,257","4,042,144,524",1.957.718
Serrano,L4,RECOLETOS,1,SALAMANCA,4,6,"-3,686,606,943","4,042,541,243",3.148.887
Sevilla,L2,CORTES,3,CENTRO,1,12,"-3,699,403,086","404,178,944",1.661.555
Sierra de Guadalupe,L1,CASCO HISTORICO DE VALLECAS,1,VILLA DE VALLECAS,18,28,"-3,625,030,273","4,038,255,355",3.784.554
Simancas,L7,SIMANCAS,1,SAN BLAS - CANILLEJAS,20,21,"-3,625,826,833","4,042,790,804",3.109.979
Sol,L1/L2/L3,SOL,6,CENTRO,1,15,"-3,702,793,213","4,041,686,834",49.567.085
Suanzes,L5,EL SALVADOR,8,SAN BLAS - CANILLEJAS,20,28,"-3,627,124,503","4,044,090,339",2.467.319
Tetuan,L1,CASTILLEJOS,3,TETUAN,6,6,"-3,697,831,412","4,046,120,085",5.039.721
Tirso de Molina,L1,EMBAJADORES,2,CENTRO,1,16,"-3,704,359,623","4,041,237,559",5.317.945
Torre Arias,L5,SIMANCAS,1,SAN BLAS - CANILLEJAS,20,29,"-3,617,039,397","4,044,361,427",2.102.301
Tres Olivos,L10,VALVERDE,6,FUENCARRAL-EL PARDO,8,11,"-3,694,357,972","4,050,089,838",7.678.416
Tribunal,L1/L10,JUSTICIA,4,CENTRO,1,13,"-370,116,243","4,042,613,342",13.521.895
Urgel,L5,SAN ISIDRO,3,CARAMBACHEL,11,9,"-3,724,476,647","4,039,301,052",4.128.094
Usera,L6,MOSCARDO,5,USERA,12,24,"-3,706,622,287","4,038,707,515",7.515.213
Valdeacederas,L1,VALDEACEDERAS,5,TETUAN,6,5,"-3,695,127,745","4,046,440,066",3.877.235
Valdebernardo,L9,VALDEBERNARDO,2,VICALVARO,19,21,"-3,621,553,966","4,040,002,717",2.567.757
Valdecarros,L1,ENSANCHE VALLECAS,3,VILLA DE VALLECAS,18,33,"-359,316,563","4,036,010,803",1.227.630
Valdezarza,L7,VALDEZARZA,4,MONCLOA-ARAVACA,9,7,"-37,159,758","4,046,460,815",1.851.195
Velazquez,L4,CASTELLANA,6,SALAMANCA,4,7,"-3,682,916,224","4,042,515,107",2.662.973
Ventas,L2/L5,GUINDALERA,4,SALAMANCA,4,6,"-3,663,536,293","4,043,110,198",6.716.718
Ventilla,L9,ALMENARA,4,TETUAN,6,5,"-3,695,898,463","4,046,955,802",1.828.377
Ventura Rodríguez,L3,UNIVERSIDAD,5,CENTRO,1,3,"-3,713,588,147","4,042,701,317",2.143.241
Vicalvaro,L9,CASCO HISTORICO DE VICALVARO,1,VICALVARO,19,22,"-3,608,936,855","4,040,421,029",2.235.714
Vicente Aleixandre,L6,CIUDAD UNIVERSITARIA,3,MONCLOA-ARAVACA,9,9,"-3,718,782,881","4,044,684,253",2.139.036
Villa de Vallecas,L1,CASCO HISTORICO VALLECAS,1,VILLA DE VALLECAS,18,29,"-3,621,232,265","4,037,966,041",2.809.186
Villaverde Alto,L3,VILLAVERDE ALTO,1,VILLAVERDE,17,18,"-3,711,905,936","4,034,158,254",4.325.654
Villaverde Bajo-Cruce,L3,LOS ROSALES,4,VILLAVERDE,17,16,"-3,692,524,549","4,035,094,759",5.896.901
Vinateros,L9,VINATEROS,6,MORATALAZ,14,18,"-3,652,784,957","4,041,032,289",2.577.631
Vista Alegre,L5,VISTA ALEGRE,5,CARAMBACHEL,11,7,"-3,739,959,292","4,038,869,168",3.515.983
